[22Apr2025 09:08:13.125] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, nogui]
[22Apr2025 09:08:13.129] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.14 by Ubuntu; OS Linux arch amd64 version 6.8.0-1026-azure
[22Apr2025 09:08:13.341] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[22Apr2025 09:08:13.406] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/2doserver/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[22Apr2025 09:08:13.668] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/2doserver/servidor_minecraft/libraries/net/minecraftforge/fmlcore/1.20.1-47.3.7/fmlcore-1.20.1-47.3.7.jar is missing mods.toml file
[22Apr2025 09:08:13.669] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/2doserver/servidor_minecraft/libraries/net/minecraftforge/javafmllanguage/1.20.1-47.3.7/javafmllanguage-1.20.1-47.3.7.jar is missing mods.toml file
[22Apr2025 09:08:13.671] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/2doserver/servidor_minecraft/libraries/net/minecraftforge/lowcodelanguage/1.20.1-47.3.7/lowcodelanguage-1.20.1-47.3.7.jar is missing mods.toml file
[22Apr2025 09:08:13.673] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/2doserver/servidor_minecraft/libraries/net/minecraftforge/mclanguage/1.20.1-47.3.7/mclanguage-1.20.1-47.3.7.jar is missing mods.toml file
[22Apr2025 09:08:13.804] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: Found 1 dependencies adding them to mods collection
[22Apr2025 09:08:15.739] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[22Apr2025 09:08:15.740] [main/ERROR] [mixin/]: Mixin config azurelib.mixins.json does not specify "minVersion" property
[22Apr2025 09:08:15.743] [main/ERROR] [mixin/]: Mixin config azurelib.forge.mixins.json does not specify "minVersion" property
[22Apr2025 09:08:15.780] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments [nogui]
[22Apr2025 09:08:16.124] [main/WARN] [mixin/]: Error loading class: net/minecraft/client/GameNarrator (java.lang.ClassNotFoundException: net.minecraft.client.GameNarrator)
[22Apr2025 09:08:16.124] [main/WARN] [mixin/]: @Mixin target net.minecraft.client.GameNarrator was not found ntgl.mixin.json:common.NarratorMixin
[22Apr2025 09:08:22.143] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 47.3.7, for MC 1.20.1 with MCP 20230612.114412
[22Apr2025 09:08:22.144] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v47.3.7 Initialized
[22Apr2025 09:08:22.197] [modloading-worker-0/INFO] [azurelib/FileWatching]: Registered azurelib config for auto-sync function
[22Apr2025 09:08:22.494] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: workbench
[22Apr2025 09:08:22.494] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: workbench_side
[22Apr2025 09:08:22.495] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: wasteland_terminal
[22Apr2025 09:08:22.495] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: nukacola_vending
[22Apr2025 09:08:22.496] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: nukacola_vending_top
[22Apr2025 09:08:22.496] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: nukacola_machine
[22Apr2025 09:08:22.497] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: nukacola_machine_top
[22Apr2025 09:08:22.497] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: scrap_block
[22Apr2025 09:08:22.498] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: fragmine
[22Apr2025 09:08:22.498] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: geardoor
[22Apr2025 09:08:22.499] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: monorail
[22Apr2025 09:08:22.499] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: door_terminal
[22Apr2025 09:08:22.500] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: pa_station_block
[22Apr2025 09:08:22.502] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: weapon_display
[22Apr2025 09:08:22.502] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: opengear
[22Apr2025 09:08:22.506] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: half_barrier
[22Apr2025 09:08:22.506] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: filler_barrier
[22Apr2025 09:08:22.506] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: garvellll
[22Apr2025 09:08:22.507] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: pointed_ultracite_crystall
[22Apr2025 09:08:22.507] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: ultracite_tuff
[22Apr2025 09:08:22.507] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: ultracite_magma
[22Apr2025 09:08:22.508] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: cranberryleaves
[22Apr2025 09:08:22.509] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: rusty_leaves
[22Apr2025 09:08:22.509] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: immortal_green_leaves
[22Apr2025 09:08:22.510] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: dwoodlog
[22Apr2025 09:08:22.511] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: cranberrywood
[22Apr2025 09:08:22.511] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: strippeddwood
[22Apr2025 09:08:22.512] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: deadwood_planks
[22Apr2025 09:08:22.512] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: cranberry_planks
[22Apr2025 09:08:22.513] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: lead_ore
[22Apr2025 09:08:22.513] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: deeplead_block
[22Apr2025 09:08:22.514] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: aluminium_ore
[22Apr2025 09:08:22.515] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: deepalumi_block
[22Apr2025 09:08:22.515] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: silver_ore
[22Apr2025 09:08:22.517] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: deepsilver_block
[22Apr2025 09:08:22.517] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: quarts_ore
[22Apr2025 09:08:22.518] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: deepquarts_ore
[22Apr2025 09:08:22.519] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: black_titan_ore
[22Apr2025 09:08:22.519] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: deep_black_titan_block
[22Apr2025 09:08:22.520] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: uranium_ore
[22Apr2025 09:08:22.521] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: deeruranium
[22Apr2025 09:08:22.521] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: ultracite_ore
[22Apr2025 09:08:22.522] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: deepslate_ultracite_ore
[22Apr2025 09:08:22.523] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: ultracite_tuff_ore
[22Apr2025 09:08:22.524] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: raw_lead_block
[22Apr2025 09:08:22.524] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: raw_aluminium_block
[22Apr2025 09:08:22.525] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: raw_silver_block
[22Apr2025 09:08:22.525] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: raw_black_titan_block
[22Apr2025 09:08:22.527] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: raw_uranium_block
[22Apr2025 09:08:22.527] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: lead_block
[22Apr2025 09:08:22.528] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: aluminium_block
[22Apr2025 09:08:22.529] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: silver_block
[22Apr2025 09:08:22.529] [modloading-worker-0/INFO] [com.nukateam.nukacraft.NukaCraft/]: Registered block: steel_block
